,Location
0,"Jehanabad,bihar"
1,Anand
2,Mumbai
3,"Yamba, New South Wales"
4,"Amritsar, India"
5,"Jharkhand, India"
6,India      
7,india
8,"Chandigarh, India."
9,"Haryana, India"
10,"इंदौर , भारत"
11,SJB1A4SVT-RVOMG
12,"Vidisha, India"
13,"Sonipat, India"
14,"Malakpet, Hyderabad"
15,"Hyderabad, India"
16,"Dongargarh, India"
17,"Chandigarh, India"
18, Kenya
19,Astroworld
20,MilkyWay
21,日本   新潟県新潟市
22,Jaipur
23,"Hyderabad, India"
24,"Catskill, NY"
25,"Etah, India"
26,"Cosmos,Porpoise Galaxy "
27,"Attleboro, MA"
28,"Haryana, India"
29,"New Delhi, India"
30,kozhikode kerala
31,"Allahabad, India"
32,"Hyderabad, India"
33,"Haryana, India"
34,Faisalabad
35,India 
36,Ujjain M.P.
37,"Hyderabad, India"
38,Mathura uttar presdesh 
39,🇿🇼|🇿🇦
40,भारत
41,"Jaipur, India"
42,"Ambikapur, chhattisgarh"
43,Down South
44,"Vidisha, India"
45,"California, USA"
46,"Kanpur, India"
47,GHANA
48,Ujjain M.P.
49,India
50,"Moradabad, India"
51,"Panipat, India"
52,Ujjain M.P.
53,"Mountain View, CA"
54,Adelaide. Soon to be the NT
55,Around the World
56,"Kampala, Uganda"
57,Srinagar
58,India
59,Lalpur Amarkantak MP
60,"Ambikapur, chhattisgarh"
61,"Bikaner, India"
62,Rajod
63,Jaipur raj.
64,Varanasi
65,"Bhavnagar, India"
66,raipur Chhattisgarh
67,"New Delhi, India"
68,"Basti, India"
69,"Vidisha, India"
70,Triad
71,l$d in paris
72,India
73,"Dongargarh, India"
74,"Ludhiana, India"
75,Pakistan
76,India
77,Chhattisgarh | Delhi | India
78,Rohtak
79, CA
80,"Chhattisgarh, India"
81,"Aurangabad, India"
82,"Bengaluru, India"
83,india
84,"Minjur, India"
85,New Delhi 
86,India
87,"Ranaghat , nadia , w.b"
88,"Giridih, India"
89,"Ranchi, India"
90,"Haryana, India"
91,"Nairobi,Kenya."
92,Kenya
93,"Nashik, India"
94,"Vidisha, India"
95,south africa
96,"Hyderabad, India"
97,"Punjab, Pakistan"
98,"Jharkhand, India"
99,"Jehanabad,bihar"
100,"New Delhi, India"
101,Mumbai
102,"बिहार, भारत"
103,मिर्ज़ापुर
104,"Dadra And Nagar Haveli, India"
105,Karachi
106,"Aurangabad, India"
107,"Rajasthan, India"
108,"Jammu, J&K, India"
109,India
110,"Srinagar, Uttrakhand"
111,"New Delhi, India"
112,"उत्तरप्रदेश, भारत"
113,"Bhavnagar, India"
114,"Jharkhand, India"
115,indian 
116,"Jubliee Hills, Rajendra Nagar"
117,india
118,"New York, NY"
119,Berla ( Bemetara ) Chhattisgar
120,"Aurangabad, India"
121,Dubai UAE
122,Guyana
123,"Kanpur, India"
124,"Attleboro, MA"
125,bv
126,Scotland
127,Delhi
128,"Jahazpur, India"
129,India
130,"Rajasthan, India"
131,"Chhattisgarh, India"
132,"Srinagar, Uttrakhand"
133,"Harare, Zimbabwe"
134,"Giridih, India"
135,"Hyderabad, India"
136,"New Delhi, India"
137,"Haryana, India"
138,Mathura uttar presdesh 
139,"Chhattisgarh, India"
140,Banda UP.
141,your mom
142,"Gujarat, India"
143,Ujjain M.P.
144,"Cochin, India"
145,🦀 »-Under the sea-« 🐚
146,Himachal Pradesh
147,Scotland
148,", "
149,"Bhopal, India"
150,Assam
151,"Indi, India"
152,"Rajasthan, India"
153,katni m.p
154,"Godda, India"
155,"Ranchi, India"
156,Mind your own business
157,purgatory 
158,"Jharkhand, India"
159,Hapur
160,Mizoram
161,India
162,he/him ⚣
163,India
164,India
165,India
166,India
167,"Sawai Madhopur, India"
168,Ranga Reddy District
169,"Karnataka, India"
170,AVA
171,Ranga Reddy District
172,"Bhavnagar, India"
173,Drogon’s back 🔥🐉
174,India
175,"Delhi, India"
176,"Tirupati, India"
177,a Canadian in NYC
178,Sydney Australia
179,"Sonipat, India"
180,अपनी अलग ही दुनियाँ मैं ...!!
181,"मुंबई, भारत"
182,Durban
183,icon: me lol
184,Islamabad
185,australia
186,Ranga Reddy District
187,"Kanpur, India"
188,"Lucknow, India"
189,USA
190,"New Delhi, India"
191,"London, England"
192,"Chhattisgarh, India"
193,"Rajasthan, India"
194,"Chhattisgarh, India"
195,"Chandigarh, India"
196,only twitter 
197,a Canadian in NYC
198,India
199,"Nairobi, Kenya"
200,kanpur uttar pradesh
201,North Wales
202,"Kampala, Uganda"
203,"Delhi, India"
204,", "
205,"Nhulunbuy, Northern Territory"
206,"Srinagar, Uttrakhand"
207,"Aurangabad, Bihar, India"
208,"Mathura, vrindavan India"
209,"Delhi, India"
210,Jaipur
211,"Ambikapur, chhattisgarh"
212,"Cosmos,Porpoise Galaxy "
213,Land of the Living
214,NO DM
215,"Chhattisgarh, India"
216,"Jharkhand, India"
217,"Chhattisgarh, India"
218,Mumbai
219,India
220,"Delhi, India"
221,Tx
222,Hindustan
223,🇿🇦🇲🇿
224,"Haryana, India"
225,"Tezpur/Guwahati, Assam, India"
226,"Godda, India"
227,"Ranchi, India"
228,"Sonipat, India"
229,United Kingdom
230,New delhi India
231,INDIAN
232,"रायपुर, भारत"
233,"Nairobi, Kenya"
234,"New Delhi, India"
235,Hindustan
236,New Delhi | India
237,DVO PH
238,West Bengal
239,"Karnataka, India"
240,"Delhi, India"
241,Mumbai
242,India
243,"Uttar Pradesh, India"
244,Ghaziabad
245,"Islamabad, Pakistan"
246,India
247,"Peshawar, Pakistan"
248,kanpur uttar pradesh
249,Ahmedabad
250,"Colorado, USA"
251,Jharkhand
252,"Uttar Pradesh, India"
253,"Karachi, Pakistan"
254,New Delhi
255,"Yogyakarta, Indonesia"
256,kanpur uttar pradesh
257,"Gandhi Bhavan, Nampaly, Hyd!"
258,Mumbai
259,"Bhavnagar, India"
260,"Jharkhand, India"
261,India
262,Pakistan
263,"Sagar, Madhya Pradesh"
264,33.9
265,India
266,"Jharkhand, India"
267,"Amritsar, India"
268,"Ambikapur, chhattisgarh"
269,Parkview. Sydenham. Parktown 
270,India
271,Bharat
272,Online
273,"Jaipur, India"
274,"Rajahmundry, India"
275,"Heywood, England"
276,"रायपुर, भारत"
277,India
278,"Las Vegas, NV"
279,"Karnataka, India"
280,"Abbottabad, Pakistan"
281,"Ahmadabad City, India"
282,Davangere
283,Pulwama kashmir
284,"Karachi, Pakistan"
285,"Bhopal, India"
286,Hazaribagh 
287,"Uttar Pradesh, India"
288,"Gandhi Bhavan, Nampaly, Hyd!"
289,Mathura uttar presdesh 
290,"Jaipur, India"
291,"Haryana, India"
292,The Cow Belt
293,London
294,"working on a personal website, which will see the light, hopefully in the near future."
295,"Faridabad, India"
296,"Mumbai, India"
297,"Uttar Pradesh, India"
298,"Bayern, Deutschland"
299,"रायपुर, भारत"
300,"Jharkhand, India"
301,"Sakri, India"
302,"Polangui, Bicol Region"
303,Nigeria
304,Coming for your stuff
305,The US OF A
306,Gujarat
307,India
308,"Sonipat, India"
309,"Rajasthan, India"
310,"Lagos, Nigeria"
311,"दिल्ली, भारत"
312,Noida
313,"Johannesburg, South Africa"
314,"हिमाचल प्रदेश, भारत"
315,Berla ( Bemetara ) Chhattisgar
316,Tezpur University Assam
317,"Jaipur, India"
318,"Bengaluru, India"
319,"Bengaluru, India"
320,Jaapaaan
321,kanpur uttar pradesh
322,"Aurangabad, India"
323,West Bengal
324,"Abbottabad, Pakistan"
325,"Bengaluru, India"
326,"Italy, Turkey, Europe"
327,"Bedukala, Osian"
328,kanpur uttar pradesh
329,India
330,"Sonipat, India"
331,"जगाधरी, हरियाणा "
332,"Akure, Nigeria"
333,"Raipur, Chhattisgarh, India"
334,West Bengal
335,"Disneyland, or thereabouts"
336,"Jaipur, India"
337,"Kitale, Kenya"
338,"Here,There and Somewhere else "
339,"Bengaluru, India"
340,"Plymouth, England"
341,India
342,"Thane,Mumbai "
343,"Chhattisgarh, India"
344,"रायपुर, भारत"
345,Iraq
346,"Lakhimpur, India"
347,"Johannesburg, South Africa"
348,West Bengal
349,"Rajasthan, India"
350,"Bengaluru, India"
351,Chhattisgarh | Delhi | India
352,"Nairobi, Kenya"
353,Jharkhand
354,MAGA Country
355,"Chhattisgarh, India"
356,India
357,"Dubai, United Arab Emirates"
358,Poschim Bangla
359,"Jharkhand, India"
360,"Multhan, India"
361,"Chandigarh, India"
362,Warsaw
363,"रायपुर, भारत"
364,दिल्ली
365,Ujjain M.P.
366,"Chandigarh, India"
367,"हिमाचल प्रदेश, भारत"
368,"आगरा, भारत"
369,"The Hague, The Netherlands"
370,maahisworld
371,Jharkhand
372,"Baghpat , Uttar Pradesh"
373,India
374,West Bengal
375,kanpur uttar pradesh
376,33.9
377,"Udupi, India"
378,"Hyderabad, India"
379,"London, England"
380,"Udupi, India"
381,"नई दिल्ली, भारत"
382,"New Delhi, India"
383,"Chhattisgarh, India"
384,"Bhavnagar, India"
385,"Ajmer, India"
386,India
387,915
388,India
389,manasa neemuch (m.p.)
390,Egypt (land of buried dreams)
391,"Madhya Pradesh, India"
392,"Mumbai, India"
393,Israel
394,"Pawapuri, India"
395,"Kampala, Uganda"
396,india
397,Iraq
398,"Jharkhand, India"
399,INDIAN
400,"Gujarat, India"
401,"हिमाचल प्रदेश, भारत"
402,"Faridabad, India"
403,Mathura uttar presdesh 
404,Chattisgarh
405,"Lagos, Nigeria"
406,"Faridabad, India"
407,India
408,"Delhi, India"
409,South Africa
410,Earth
411,Mathura uttar presdesh 
412,"Mangalore, India"
413,"Karachi, Pakistan"
414,Mathura uttar presdesh 
415,Namibia
416,"मध्य प्रदेश, भारत"
417,"Lucknow, India"
418,"Recife, Brasil"
419,"Washington, DC"
420,India
421,"दिल्ली, भारत"
422,"Molepolole,Botswana"
423,"Wien, Österreich"
424,India
425,Tezpur University Assam
426,"Faridabad, India"
427,"Giridih, India"
428,"Delhi, India"
429,raipur Chhattisgarh
430,Earth 🌍
431,"Ranchi, India"
432,"Mangalore, India"
433,Jharkhand
434,India
435,KNP
436,"Hyderabad, India"
437,"Howrah, Haora"
438,"Rome, Lazio"
439,joburg/cape town 🇿🇦
440,"pahalmanpur-1, kailali."
441,"Howrah, Haora"
442,Jharkhand
443,"Delhi, India"
444,Srinagar
445,"Mumbai, India"
446,"Jaipur, India"
447,"मुंबई, भारत"
448,"Bulandshahr, UP, India"
449,citizen of India
450,"New Delhi, India"
451,"Ambikapur, chhattisgarh"
452,Srinagar
453,Srinagar
454,"Ranchi, India"
455,Santa Christmas. 
456,"Delhi, India"
457,MARDAN KPK
458,"Rawalpindi, Pakistan"
459,"Mombasa, Kenya"
460,Poschim Bangla
461,"Siwan, India"
462,"Beldanga, India"
463,South Africa
464,"New Delhi, India"
465,West Bengal
466,Jharkhand
467,"Johannesburg, South Africa"
468,New York
469,"Tamil Nadu, India"
470,assam 
471,"Chandigarh, India"
472,Faridkot 
473,"New York, NY"
474,"हिमाचल प्रदेश, भारत"
475,Germany
476,"दिल्ली, भारत"
477,"Tezpur, India"
478,"Jharkhand, India"
479,EUROPE
480,JALORE
481,Phillaur punjab 
482,New York
483,"Melbourne, Victoria"
484,"Dublin, soul in Galway"
485,"Delhi, India"
486,"Siwan, India"
487,RJ-23
488,"New Delhi, India"
489,SAFAR ME HU
490,honeymoon ave
491,", "
492,India
493,"Dhanbad, India"
494,Jharkhand
495,"Godda, India"
496,"Delhi, India"
497,India
498,Chhattisgarh | Delhi | India
499,"Ballia, India, youtube link,👇"
500,"Amritsar, India"
501,"Bhopal, India"
502,Banda UP.
503,FLORIDA
504,"Chandigarh, India"
505,India
506,︱they/them︱minor︱spam acc︱
507,"New Delhi, India"
508,"Chittorgarh,Rajasthan"
509,"Bongaigaon, India"
510,They/Them or He/Him 
511,"Delhi, India"
512,raipur Chhattisgarh
513,United Kingdom
514,"इंदौर , भारत"
515,"Kankavli , India"
516,"lagos,Nigeria"
517,Chhattisgarh | Delhi | India
518,"Abbottabad, Pakistan"
519,definitely not Germany 
520,"Delhi, India"
521,"London , UK"
522,West Bengal
523,India 🇮🇳
524,Pakistan
525,201
526,"Mumbai, India"
527,"Haryana, India"
528,"Delhi, India"
529,ot7
530,Chhattisgarh | Delhi | India
531,India
532,"Manhattan, NY"
533,CuckVille
534,"Chandigarh, India"
535,soest
536,United States
537,"Lagos, Nigeria"
538,Uttrakhand
539,Faridkot 
540,"vypin, kochi"
541,Swansea
542,"California, USA"
543,India
544,"Hardoi, India"
545,"Doboka, India"
546,"Delhi, India"
547,"Bhopal, India"
548,"London, England"
549,Newdelhi- Alappuzha
550,West Bengal
551,"Bengaluru, India"
552,"Howrah, Haora"
553,"Rajasthan, India"
554,"Howrah, Haora"
555,"Arlington, TX"
556,"North West, UK"
557,"Pakenham, Victora, Australia"
558,Jharkhand
559,"Bhopal, India"
560,India
561,kanpur uttar pradesh
562,"Hyderabad, India"
563,"Ahemadabad,"
564,Kolhapur🔄Erangel
565,"Jharkhand, India"
566,INDIAN
567,"Mombasa, Kenya"
568,"Jodhpur, India"
569,south africa
570,LDN snapchat/Malv100 
571,kolkata
572,Chattisgarh
573,Faridkot 
574,India
575,Kurukshetra
576,Ethiopia
577,"Mumbai, India"
578,South Africa
579,West Bengal
580,"Rawalpindi, Pakistan"
581,"Maharashtra, India"
582,"Mangaldai , Assam"
583,"Kampala, Uganda"
584,Porur Chennai
585,Tezpur University Assam
586,"Dhaka,Bangladesh"
587,"Dehradun, India"
588,"Jharkhand, India"
589,"Delhi, India"
590,"Patna, India"
591,", "
592,"Bhuj, India"
593,Lucknow India
594,Banglore
595,"Doboka, India"
596,Miami/Caracas
597,Lebanon
598,"Nairobi, Kenya"
599,"5 A, Raisina Road, New Delhi"
600,"Delhi, India"
601,United States
602,she/her · 17
603,Faridkot 
604,"Walthamstow, London"
605,Jharkhand
606,Maa Bhaarati
607,"Gujarat, India"
608,India
609,MARDAN KPK
610,United States
611,"Tripunithura, Kanayannur"
612,"Ahmadabad City, India"
613,New Delhi
614,Istanbul 
615,Chattisgarh
616,"Giridih, India"
617,"Enderby, England"
618,"Jammu, Jammu And Kashmir"
619,SAFAR ME HU
620,lost
621,Mumbai
622,"Uttar Pradesh, India"
623,"New Delhi, India"
624,India
625,भारत
626,"Los Angeles, CA"
627,Mumbai
628,"New Delhi, Delhi"
629,Faridkot 
630,Jharkhand
631,"New York, USA"
632,"Bhubaneshwar, India"
633,"Faridabad, India"
634,india
635,"Rajahmundry, India"
636,"Rudrapur, India"
637,"Manila,Philippines"
638,"Melbourne, Victoria"
639,"Rudrapur, India"
640,"Doboka, India"
641,Indian Railways
642,Ogongo Okeeke 
643,"Amritsar, India"
644,India
645,"Tirunelveli,Tamilnadu"
646,Bangalore
647,"Shelton, WA"
648,free palestine
649,Jharkhand
650,"Gwalior, India"
651,"Madhya Pradesh, India"
652,India
653,भारत
654,"Rudrapur, India"
655,"Jharkhand, India"
656,"New Delhi, India"
657,"Hari Nagar, New Delhi"
658,Mumbai
659,"Bihar, India"
660,"Ghaziabad, India"
661,India
662,Portugal
663,"Bihar, India"
664,Indian Railways
665,"Udaipur, India"
666,"Bloemfontein, South Africa"
667,"Bihar, India"
668,"Bhopal, India"
669,South Africa 
670,"Sikar, India"
671,"Patna, India"
672,"Pretoria, South Africa"
673,Somewhere on Planet Earth 
674,Nee Gundello
675,"Sheffield, England"
676,India
677,PH 🇵🇭
678," Kolkata,India"
679,United Kingdom
680,India
681,"Doboka, India"
682,"Islamabad, Pakistan"
683,New Delhi| Patna | Kishanganj
684,MARDAN KPK
685,"Rawalpindi, Pakistan"
686,"Trotwood, OH"
687,"Doboka, India"
688,"Jharkhand, India"
689,"इंदौर , भारत"
690,"Narwana, India"
691,"Lahore, Pakistan"
692,"Jaipur, India"
693,"Bhopal, India"
694,"Jharkhand, India"
695,"New Delhi, India"
696,"Azamgarh, India"
697,Hyderabad
698,glo’ing up
699,Faridkot 
700,Bharat   tweet in links 👇👇
701,"बिहार, भारत"
702,Mumbai
703,India
704,"Rajahmundry, India"
705,India
706,"Bhopal, India"
707,Kuala Lumpur Federal Territory
708,014 / 018🇿🇦
709,"रानाघाट, भारत"
710,"बिड़ीयाड़, मकराना"
711,"Doboka, India"
712,"Hardoi, India"
713,Chhattisgarh | Delhi | India
714,"MA,USA"
715,India
716,Lucknow 
717,Chattisgarh
718,India
719,"Mumbai, india"
720,Somewhere in the world 🌍
721,New Delhi| Patna | Kishanganj
722,Jharkhand
723,"Bahadurgarh, India"
724,"Chennai, India"
725,"Bihar, India"
726,Washington DC
727,AKHAND BHARAT
728,India
729,"Hyderabad,Chevella,India"
730,Nee Gundello
731,"Bhopal, India"
732,AKHAND BHARAT
733,Jharkhand
734,Pakistan
735,Jharkhand
736,Chattisgarh
737,Kuwait.. 
738,Uganda
739,Ireland
740,boston
741,"Al Madinah Al Munawwarah, King"
742,"Bhopal, India"
743,Germany
744,"Mumbai, India"
745,"Udaipur, India"
746,Rohtak
747,"Mangaldai , Assam"
748,Jharkhand
749,Rohtak
750,", "
751,Namibia
752,"Surat, India"
753,rip jorge nario  rip grandpa🎸
754,"Tezpur, India"
755, South Yorkshire UK
756,"Bhopal, India"
757,"बिड़ीयाड़, मकराना"
758,"भुख मरी, बेरोजगाों , अशिक्षा ।"
759,Faridkot 
760,"Aurangabad, India"
761,Coded location 
762,Varanasi
763,Queensland
764,South Africa
765,India
766,Kuwait.. 
767,Maldon. 
768,"Hyderabad,Chevella,India"
769,Pakistan
770,India
771,Muzaffar Nagar[U.P.] INDIA
772, Pakistan
773,"Rajasthan, India "
774,"ll Show You"", "
775,Chennai 
776,Kuwait.. 
777,"Croston, England"
778,Kuwait.. 
779,Chattisgarh
780,New Delhi
781,India
782,bulandshahr
783,"Agra, India"
784,Jharkhand
785,"Tezpur, India"
786,"Udaipur, India"
787,Lucknow 
788,RU Jaipur
789,"Madhya Pradesh, India"
790,Rohtak
791,"Kalyanpur Kanpur, Kanpur"
792,"California, USA"
793,भोक
794,"Cosmos,Porpoise Galaxy "
795,"South Dublin, Ireland"
796,"Bengaluru, India"
797,Hawa may 
798,RU Jaipur
799,Kuwait.. 
800,"Howrah, Haora"
801,"Rajasthan, India"
802,Cambridge
803,Chattisgarh
804,Lucknow 
805,Limitless🔥🔥🔥🔥
806,Iraq
807,"Madhya Pradesh, India"
808,Kuwait.. 
809,"Howrah, Haora"
810,پرانا پاکستان، ساہیوال
811,Kuwait.. 
812,Chattisgarh
813,"Sector 49, Noida"
814,Delhi 
815,India
816,Lucknow 
817,"Karachi, Pakistan"
818,India
819,"Kolkata, India"
820,Lucknow 
821,"Nairobi, Kenya"
822,"Cosmos,Porpoise Galaxy "
823,London 
824,"Bhiwani, India"
825,"Madhya Pradesh, India"
826,"Hyderabad, India"
827,Lucknow 
828,"Hyderabad, India"
829,"Patna, India"
830,"Lucknow, India"
831,"Howrah, Haora"
832,Tokyo
833,Lucknow 
834,"Sector 49, Noida"
835,پرانا پاکستان، ساہیوال
836,Delhi 
837,"Howrah, Haora"
838,Karachi
839,Jharkhand
840,India
841,Tokyo
842,"Tezpur, India"
843,"New Delhi, India"
844,"Rawalpindi, Pakistan"
845,"Rajasthan, India"
846,"Lucknow, City of Nawabs"
847,"Westboro, MA"
848,India
849,Chattisgarh
850,Tokyo
851,Lucknow 
852,Delhi 
853,"Howrah, Haora"
854,"City Of Malaybalay, Northern M"
855,"Sector 49, Noida"
856,Cape Town
857,Lucknow 
858,"St Louis, MO"
859,"Butte, America (Montana)"
860,"Bhuj, India"
